YEAR,MONTH,DATE,SITE,SBC_LTER_TRANSECT,LOBSTER_TRANSECT,SIZE,COUNT
2012,8,20-Aug-12,IVEE,1,A,-99999,0
2012,8,20-Aug-12,IVEE,1,B,-99999,0
2012,8,20-Aug-12,IVEE,1,C,-99999,0
2012,8,20-Aug-12,IVEE,1,D,-99999,0
2012,8,20-Aug-12,IVEE,2,A,-99999,0
2012,8,20-Aug-12,IVEE,2,B,-99999,0
2012,8,20-Aug-12,IVEE,2,C,-99999,0
2012,8,20-Aug-12,IVEE,2,D,-99999,0
2012,8,20-Aug-12,IVEE,3,A,-99999,0
2012,8,20-Aug-12,IVEE,3,A,70,1
2012,8,20-Aug-12,IVEE,3,B,60,1
2012,8,20-Aug-12,IVEE,3,B,65,1
2012,8,20-Aug-12,IVEE,3,B,70,1
2012,8,20-Aug-12,IVEE,3,B,85,1
2012,8,20-Aug-12,IVEE,3,C,60,1
2012,8,20-Aug-12,IVEE,3,C,65,1
2012,8,20-Aug-12,IVEE,3,C,67,1
2012,8,20-Aug-12,IVEE,3,D,70,1
2012,8,20-Aug-12,IVEE,4,A,-99999,0
2012,8,20-Aug-12,IVEE,4,B,85,1
2012,8,20-Aug-12,IVEE,4,C,-99999,0
2012,8,20-Aug-12,IVEE,4,D,-99999,0
2012,8,20-Aug-12,IVEE,5,A,52,1
2012,8,20-Aug-12,IVEE,5,A,60,1
2012,8,20-Aug-12,IVEE,5,A,64,1
2012,8,20-Aug-12,IVEE,5,A,70,1
2012,8,20-Aug-12,IVEE,5,B,58,1
2012,8,20-Aug-12,IVEE,5,B,60,2
2012,8,20-Aug-12,IVEE,5,B,62,1
2012,8,20-Aug-12,IVEE,5,B,86,1
2012,8,20-Aug-12,IVEE,5,B,105,1
2012,8,20-Aug-12,IVEE,5,C,-99999,0
2012,8,20-Aug-12,IVEE,5,D,-99999,0
2012,8,20-Aug-12,IVEE,6,A,-99999,0
2012,8,20-Aug-12,IVEE,6,B,57,1
2012,8,20-Aug-12,IVEE,6,B,60,1
2012,8,20-Aug-12,IVEE,6,C,-99999,0
2012,8,20-Aug-12,IVEE,6,D,-99999,0
2012,8,20-Aug-12,IVEE,7,A,-99999,0
2012,8,20-Aug-12,IVEE,7,B,-99999,0
2012,8,20-Aug-12,IVEE,7,C,-99999,0
2012,8,20-Aug-12,IVEE,7,D,53,1
2012,8,20-Aug-12,IVEE,7,D,56,1
2012,8,20-Aug-12,IVEE,8,A,-99999,0
2012,8,20-Aug-12,IVEE,8,B,-99999,0
2012,8,20-Aug-12,IVEE,8,C,-99999,0
2012,8,20-Aug-12,IVEE,8,D,58,1
2012,8,20-Aug-12,IVEE,8,D,60,1
2012,8,22-Aug-12,NAPL,1,A,-99999,0
2012,8,22-Aug-12,NAPL,1,B,-99999,0
2012,8,22-Aug-12,NAPL,1,C,-99999,0
2012,8,22-Aug-12,NAPL,1,D,83,1
2012,8,22-Aug-12,NAPL,2,A,-99999,0
2012,8,22-Aug-12,NAPL,2,B,75,1
2012,8,22-Aug-12,NAPL,2,C,-99999,0
2012,8,22-Aug-12,NAPL,2,D,-99999,0
2012,8,22-Aug-12,NAPL,3,A,-99999,0
2012,8,22-Aug-12,NAPL,3,B,60,1
2012,8,22-Aug-12,NAPL,3,B,65,2
2012,8,22-Aug-12,NAPL,3,C,-99999,0
2012,8,22-Aug-12,NAPL,3,D,-99999,0
2012,8,22-Aug-12,NAPL,4,A,-99999,0
2012,8,22-Aug-12,NAPL,4,B,-99999,0
2012,8,22-Aug-12,NAPL,4,C,-99999,0
2012,8,22-Aug-12,NAPL,4,D,-99999,0
2012,8,22-Aug-12,NAPL,5,A,-99999,0
2012,8,22-Aug-12,NAPL,5,B,-99999,0
2012,8,22-Aug-12,NAPL,5,C,-99999,0
2012,8,22-Aug-12,NAPL,5,D,90,1
2012,8,22-Aug-12,NAPL,6,A,-99999,0
2012,8,22-Aug-12,NAPL,6,B,-99999,0
2012,8,22-Aug-12,NAPL,6,C,-99999,0
2012,8,22-Aug-12,NAPL,6,D,-99999,0
2012,8,22-Aug-12,NAPL,7,A,-99999,0
2012,8,22-Aug-12,NAPL,7,B,-99999,0
2012,8,22-Aug-12,NAPL,7,C,-99999,0
2012,8,22-Aug-12,NAPL,7,D,-99999,0
2012,8,22-Aug-12,NAPL,8,A,-99999,0
2012,8,22-Aug-12,NAPL,8,B,-99999,0
2012,8,22-Aug-12,NAPL,8,C,-99999,0
2012,8,22-Aug-12,NAPL,8,D,-99999,0
2012,8,22-Aug-12,NAPL,9,A,-99999,0
2012,8,22-Aug-12,NAPL,9,B,-99999,0
2012,8,22-Aug-12,NAPL,9,C,-99999,0
2012,8,22-Aug-12,NAPL,9,D,-99999,0
2012,8,24-Aug-12,AQUE,1,A,-99999,0
2012,8,24-Aug-12,AQUE,1,B,-99999,0
2012,8,24-Aug-12,AQUE,1,C,-99999,0
2012,8,24-Aug-12,AQUE,1,C,55,1
2012,8,24-Aug-12,AQUE,1,D,58,1
2012,8,24-Aug-12,AQUE,1,D,63,1
2012,8,24-Aug-12,AQUE,1,D,70,1
2012,8,24-Aug-12,AQUE,1,D,75,1
2012,8,24-Aug-12,AQUE,2,A,-99999,0
2012,8,24-Aug-12,AQUE,2,A,72,1
2012,8,24-Aug-12,AQUE,2,B,57,1
2012,8,24-Aug-12,AQUE,2,B,60,1
2012,8,24-Aug-12,AQUE,2,B,62,1
