YEAR,MONTH,DATE,FISHING_SEASON,SITE,SWATH_START,SWATH_END,TRAPS,OBSERVER,NOTES
2012,10,10/5/12,2012-2013,CARP,119 31.850,119 31.800,4,9,
2012,10,10/5/12,2012-2013,CARP,119 31.900,119 31.850,14,9,
2012,10,10/5/12,2012-2013,CARP,119 31.950,119 31.900,10,9,
2012,10,10/5/12,2012-2013,CARP,119 32.000,119 31.950,7,9,
2012,10,10/5/12,2012-2013,CARP,119 32.050,119 32.000,11,9,
2012,10,10/5/12,2012-2013,CARP,119 32.100,119 32.050,12,9,
2012,10,10/5/12,2012-2013,CARP,119 32.150,119 32.100,12,9,
2012,10,10/5/12,2012-2013,CARP,119 32.200,119 32.150,2,9,
2012,10,10/5/12,2012-2013,CARP,119 32.250,119 32.200,13,9,
2012,10,10/5/12,2012-2013,CARP,119 32.300,119 32.250,5,9,
2012,10,10/5/12,2012-2013,CARP,119 32.350,119 32.300,9,9,
2012,10,10/5/12,2012-2013,CARP,119 32.400,119 32.350,5,9,
2012,10,10/5/12,2012-2013,CARP,119 32.450,119 32.400,3,9,
2012,10,10/5/12,2012-2013,CARP,119 32.500,119 32.450,2,9,
2012,10,10/5/12,2012-2013,CARP,119 32.550,119 32.500,2,9,
2012,10,10/5/12,2012-2013,CARP,119 32.600,119 32.550,6,9,
2012,10,10/5/12,2012-2013,CARP,119 32.650,119 32.600,11,9,
2012,10,10/5/12,2012-2013,CARP,119 32.700,119 32.650,6,9,
2012,10,10/5/12,2012-2013,CARP,119 32.750,119 32.700,4,9,
2012,10,10/5/12,2012-2013,CARP,119 32.800,119 32.750,0,9,
2012,10,10/5/12,2012-2013,MOHK,119 43.700,119 43.650,7,9,
2012,10,10/5/12,2012-2013,MOHK,119 43.750,119 43.700,12,9,
2012,10,10/5/12,2012-2013,MOHK,119 43.800,119 43.750,13,9,
2012,10,10/5/12,2012-2013,MOHK,119 43.850,119 43.800,10,9,
2012,10,10/5/12,2012-2013,MOHK,119 43.900,119 43.850,10,9,
2012,10,10/5/12,2012-2013,MOHK,119 43.950,119 43.900,7,9,
2012,10,10/5/12,2012-2013,MOHK,119 44.000,119 43.950,11,9,
2012,10,10/5/12,2012-2013,MOHK,119 44.050,119 44.000,15,9,
2012,10,10/5/12,2012-2013,MOHK,119 44.100,119 44.050,13,9,
2012,10,10/5/12,2012-2013,MOHK,119 44.150,119 44.100,12,9,
2012,10,10/5/12,2012-2013,MOHK,119 44.200,119 44.150,17,9,
2012,10,10/5/12,2012-2013,MOHK,119 44.250,119 44.200,17,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.300,119 44.250,15,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.350,119 44.300,10,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.400,119 44.350,17,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.450,119 44.400,11,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.500,119 44.450,7,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.550,119 44.500,5,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.600,119 44.550,0,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.650,119 44.600,2,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.700,119 44.650,6,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.750,119 44.700,10,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.800,119 44.750,10,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.850,119 44.800,21,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.900,119 44.850,13,9,
2012,10,10/5/12,2012-2013,ABUR,119 44.950,119 44.900,16,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.000,119 48.950,7,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.050,119 49.000,10,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.100,119 49.050,11,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.150,119 49.100,11,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.200,119 49.150,9,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.250,119 49.200,8,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.300,119 49.250,7,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.350,119 49.300,6,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.400,119 49.350,10,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.450,119 49.400,8,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.500,119 49.450,1,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.550,119 49.500,0,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.600,119 49.550,0,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.650,119 49.600,0,9,
2012,10,10/5/12,2012-2013,GOLB,119 49.700,119 49.650,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.100,119 51.050,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.150,119 51.100,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.200,119 51.150,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.250,119 51.200,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.300,119 51.250,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.350,119 51.300,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.400,119 51.350,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.450,119 51.400,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.500,119 51.450,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.550,119 51.500,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.600,119 51.550,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.650,119 51.600,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.700,119 51.650,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.750,119 51.700,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.800,119 51.750,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.850,119 51.800,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.900,119 51.850,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 51.950,119 51.900,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.000,119 51.950,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.050,119 52.000,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.100,119 52.050,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.150,119 52.100,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.200,119 52.150,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.250,119 52.200,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.300,119 52.250,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.350,119 52.300,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.400,119 52.350,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.450,119 52.400,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.500,119 52.450,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.550,119 52.500,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.600,119 52.550,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.650,119 52.600,0,9,
2012,10,10/5/12,2012-2013,IVEE,119 52.700,119 52.650,0,9,
2012,10,10/5/12,2012-2013,NAPL,119 56.950,119 56.900,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.000,119 56.950,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.050,119 57.000,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.100,119 57.050,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.150,119 57.100,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.200,119 57.150,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.250,119 57.200,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.300,119 57.250,0,36,
2012,10,10/5/12,2012-2013,NAPL,119 57.350,119 57.300,0,36,
2012,10,10/5/12,2012-2013,AQUE,120 06.900,120 06.850,1,9,
2012,10,10/5/12,2012-2013,AQUE,120 06.950,120 06.900,3,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.000,120 06.950,2,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.050,120 07.000,5,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.100,120 07.050,5,9,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.150,120 07.100,7,9,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.200,120 07.150,3,9,2 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.250,120 07.200,2,9,4 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.300,120 07.250,4,9,2 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.350,120 07.300,4,9,3 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.400,120 07.350,4,9,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.450,120 07.400,4,9,4 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.500,120 07.450,3,9,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.550,120 07.500,4,9,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.600,120 07.550,3,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.650,120 07.600,2,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.700,120 07.650,4,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.750,120 07.700,3,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.800,120 07.750,1,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.850,120 07.800,6,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.900,120 07.850,4,9,
2012,10,10/5/12,2012-2013,AQUE,120 07.950,120 07.900,2,9,
2012,10,10/5/12,2012-2013,AHND to AQUE,120 08.250,120 08.200,2,9,
2012,10,10/5/12,2012-2013,AHND,120 08.300,120 08.250,1,9,
2012,10,10/5/12,2012-2013,AHND,120 08.350,120 08.300,0,9,
2012,10,10/5/12,2012-2013,AHND,120 08.400,120 08.350,0,9,
2012,10,10/5/12,2012-2013,AHND,120 08.450,120 08.400,4,9,
2012,10,10/5/12,2012-2013,AHND,120 08.500,120 08.450,4,9,
2012,10,10/5/12,2012-2013,AHND,120 08.550,120 08.500,0,9,
2012,10,10/5/12,2012-2013,AHND,120 08.600,120 08.550,0,9,
2012,10,10/5/12,2012-2013,AHND,120 08.650,120 08.600,0,9,
2012,10,10/5/12,2012-2013,AHND,120 08.700,120 08.650,0,9,
2012,10,10/5/12,2012-2013,AHND,120 08.750,120 08.700,0,9,
2012,10,10/5/12,2012-2013,AHND,120 08.800,120 08.750,1,9,
2012,10,10/5/12,2012-2013,AHND,120 08.850,120 08.800,1,9,
2012,10,10/5/12,2012-2013,AHND,120 08.900,120 08.850,5,9,
2012,10,10/20/12,2012-2013,CARP,119 31.850,119 31.800,20,9,
2012,10,10/20/12,2012-2013,CARP,119 31.900,119 31.850,11,9,
2012,10,10/20/12,2012-2013,CARP,119 31.950,119 31.900,15,9,
2012,10,10/20/12,2012-2013,CARP,119 32.000,119 31.950,19,9,
2012,10,10/20/12,2012-2013,CARP,119 32.050,119 32.000,12,9,
2012,10,10/20/12,2012-2013,CARP,119 32.100,119 32.050,16,9,
2012,10,10/20/12,2012-2013,CARP,119 32.150,119 32.100,10,9,
2012,10,10/20/12,2012-2013,CARP,119 32.200,119 32.150,8,9,
2012,10,10/20/12,2012-2013,CARP,119 32.250,119 32.200,10,9,
2012,10,10/20/12,2012-2013,CARP,119 32.300,119 32.250,10,9,
2012,10,10/20/12,2012-2013,CARP,119 32.350,119 32.300,7,9,
2012,10,10/20/12,2012-2013,CARP,119 32.400,119 32.350,8,9,
2012,10,10/20/12,2012-2013,CARP,119 32.450,119 32.400,6,9,
2012,10,10/20/12,2012-2013,CARP,119 32.500,119 32.450,4,9,
2012,10,10/20/12,2012-2013,CARP,119 32.550,119 32.500,7,9,
2012,10,10/20/12,2012-2013,CARP,119 32.600,119 32.550,13,9,
2012,10,10/20/12,2012-2013,CARP,119 32.650,119 32.600,12,9,
2012,10,10/20/12,2012-2013,CARP,119 32.700,119 32.650,9,9,
2012,10,10/20/12,2012-2013,CARP,119 32.750,119 32.700,8,9,
2012,10,10/20/12,2012-2013,CARP,119 32.800,119 32.750,8,9,DID SURVEY FROM 119 32.850 TO 119 32.800 = 6 TRAPS
2012,10,10/20/12,2012-2013,MOHK,119 43.700,119 43.650,2,9,
2012,10,10/20/12,2012-2013,MOHK,119 43.750,119 43.700,18,9,
2012,10,10/20/12,2012-2013,MOHK,119 43.800,119 43.750,15,9,
2012,10,10/20/12,2012-2013,MOHK,119 43.850,119 43.800,10,9,
2012,10,10/20/12,2012-2013,MOHK,119 43.900,119 43.850,9,9,
2012,10,10/20/12,2012-2013,MOHK,119 43.950,119 43.900,11,9,
2012,10,10/20/12,2012-2013,MOHK,119 44.000,119 43.950,4,9,
2012,10,10/20/12,2012-2013,MOHK,119 44.050,119 44.000,8,9,
2012,10,10/20/12,2012-2013,MOHK,119 44.100,119 44.050,16,9,
2012,10,10/20/12,2012-2013,MOHK,119 44.150,119 44.100,14,9,
2012,10,10/20/12,2012-2013,MOHK,119 44.200,119 44.150,7,9,
2012,10,10/20/12,2012-2013,MOHK,119 44.250,119 44.200,20,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.300,119 44.250,16,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.350,119 44.300,11,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.400,119 44.350,5,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.450,119 44.400,18,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.500,119 44.450,13,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.550,119 44.500,5,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.600,119 44.550,10,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.650,119 44.600,6,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.700,119 44.650,12,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.750,119 44.700,8,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.800,119 44.750,8,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.850,119 44.800,12,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.900,119 44.850,14,9,
2012,10,10/20/12,2012-2013,ABUR,119 44.950,119 44.900,13,9,
2012,10,10/20/12,2012-2013,GOLB,119 48.700,119 48.650,11,9,
2012,10,10/20/12,2012-2013,GOLB,119 48.750,119 48.700,12,9,
2012,10,10/20/12,2012-2013,GOLB,119 48.800,119 48.750,13,9,
2012,10,10/20/12,2012-2013,GOLB,119 48.850,119 48.800,4,9,
